index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,imdb_rating,cast,crew,director
10,13519637,Horror,https://example.com/tumbbad,IND0011,horror popular indian audience,hi,Tumbbad,Tumbbad is a popular horror movie watched by Indian audiences.,78.192,Indian Popular Cinema,India,2018-11-11,33773727,104,Hindi,Released,Top watched Horror title,Tumbbad,8.2,261731,8.2,Popular Cast,Main Unit,Rahi Anil Barve
11,49799267,Horror,https://example.com/chandramukhi,IND0012,horror popular indian audience,ta,Chandramukhi,Chandramukhi is a popular horror movie watched by Indian audiences.,77.417,Indian Popular Cinema,India,2005-12-12,351685134,164,Tamil,Released,Top watched Horror title,Chandramukhi,7.2,292925,7.2,Popular Cast,Main Unit,P. Vasu
12,64575363,Thriller,https://example.com/drishyam-2,IND0013,thriller popular indian audience,hi,Drishyam 2,Drishyam 2 is a popular thriller movie watched by Indian audiences.,78.144,Indian Popular Cinema,India,2022-01-13,300805140,140,Hindi,Released,Top watched Thriller title,Drishyam 2,8.4,178698,8.2,Popular Cast,Main Unit,Abhishek Pathak
13,7601821,Thriller,https://example.com/ratsasan,IND0014,thriller popular indian audience,ta,Ratsasan,Ratsasan is a popular thriller movie watched by Indian audiences.,98.756,Indian Popular Cinema,India,2018-02-14,49826041,170,Tamil,Released,Top watched Thriller title,Ratsasan,8.4,95332,8.3,Popular Cast,Main Unit,Ram Kumar
14,70573438,Mystery,https://example.com/kahaani,IND0015,mystery popular indian audience,hi,Kahaani,Kahaani is a popular mystery movie watched by Indian audiences.,90.438,Indian Popular Cinema,India,2012-03-15,128171409,122,Hindi,Released,Top watched Mystery title,Kahaani,8.1,48761,8.1,Popular Cast,Main Unit,Sujoy Ghosh
15,33800767,Mystery,https://example.com/anjaam-pathiraa,IND0016,mystery popular indian audience,ml,Anjaam Pathiraa,Anjaam Pathiraa is a popular mystery movie watched by Indian audiences.,86.169,Indian Popular Cinema,India,2020-04-16,170952619,144,Malayalam,Released,Top watched Mystery title,Anjaam Pathiraa,7.9,179059,7.9,Popular Cast,Main Unit,Midhun Manuel Thomas
16,28250104,Science Fiction (Sci-Fi),https://example.com/koi-mil-gaya,IND0017,science fiction (sci-fi) popular indian audience,hi,Koi... Mil Gaya,Koi... Mil Gaya is a popular science fiction (sci-fi) movie watched by Indian audiences.,96.521,Indian Popular Cinema,India,2003-05-17,158685201,171,Hindi,Released,Top watched Science Fiction (Sci-Fi) title,Koi... Mil Gaya,7.0,340464,7.1,Popular Cast,Main Unit,Rakesh Roshan
17,50521665,Science Fiction (Sci-Fi),https://example.com/24,IND0018,science fiction (sci-fi) popular indian audience,ta,24,24 is a popular science fiction (sci-fi) movie watched by Indian audiences.,70.736,Indian Popular Cinema,India,2016-06-18,310332211,164,Tamil,Released,Top watched Science Fiction (Sci-Fi) title,24,7.7,172754,7.8,Popular Cast,Main Unit,Vikram Kumar
18,27356315,Fantasy,https://example.com/magadheera,IND0019,fantasy popular indian audience,te,Magadheera,Magadheera is a popular fantasy movie watched by Indian audiences.,66.248,Indian Popular Cinema,India,2009-07-19,170402648,164,Telugu,Released,Top watched Fantasy title,Magadheera,7.6,208542,7.7,Popular Cast,Main Unit,S. S. Rajamouli
19,73747959,Fantasy,https://example.com/brahmastra-part-one-shiva,IND0020,fantasy popular indian audience,hi,Brahmastra Part One: Shiva,Brahmastra Part One: Shiva is a popular fantasy movie watched by Indian audiences.,98.63,Indian Popular Cinema,India,2022-08-20,510525889,167,Hindi,Released,Top watched Fantasy title,Brahmastra Part One: Shiva,5.6,138643,5.6,Popular Cast,Main Unit,Ayan Mukerji
20,5914316,Animation,https://example.com/hanuman,IND0021,animation popular indian audience,hi,Hanuman,Hanuman is a popular animation movie watched by Indian audiences.,87.676,Indian Popular Cinema,India,2005-09-21,40418831,98,Hindi,Released,Top watched Animation title,Hanuman,7.2,269379,7.2,Popular Cast,Main Unit,V. G. Samant
21,37000382,Animation,https://example.com/roadside-romeo,IND0022,animation popular indian audience,hi,Roadside Romeo,Roadside Romeo is a popular animation movie watched by Indian audiences.,78.854,Indian Popular Cinema,India,2008-10-22,100828543,92,Hindi,Released,Top watched Animation title,Roadside Romeo,5.5,48351,5.5,Popular Cast,Main Unit,Jugal Hansraj
22,68850372,Family,https://example.com/hum-saath-saath-hain,IND0023,family popular indian audience,hi,Hum Saath-Saath Hain,Hum Saath-Saath Hain is a popular family movie watched by Indian audiences.,73.771,Indian Popular Cinema,India,2000-11-23,146469281,177,Hindi,Released,Top watched Family title,Hum Saath-Saath Hain,6.1,162984,6.3,Popular Cast,Main Unit,Sooraj R. Barjatya
23,42906318,Family,https://example.com/kapoor-&-sons,IND0024,family popular indian audience,hi,Kapoor & Sons,Kapoor & Sons is a popular family movie watched by Indian audiences.,67.361,Indian Popular Cinema,India,2016-12-24,85732844,140,Hindi,Released,Top watched Family title,Kapoor & Sons,7.6,142335,7.7,Popular Cast,Main Unit,Shakun Batra
24,49376649,Crime,https://example.com/gangs-of-wasseypur,IND0025,crime popular indian audience,hi,Gangs of Wasseypur,Gangs of Wasseypur is a popular crime movie watched by Indian audiences.,90.359,Indian Popular Cinema,India,2012-01-25,270533781,321,Hindi,Released,Top watched Crime title,Gangs of Wasseypur,8.4,88606,8.2,Popular Cast,Main Unit,Anurag Kashyap
25,68286694,Crime,https://example.com/vikram-vedha,IND0026,crime popular indian audience,ta,Vikram Vedha,Vikram Vedha is a popular crime movie watched by Indian audiences.,82.871,Indian Popular Cinema,India,2017-02-26,142145035,147,Tamil,Released,Top watched Crime title,Vikram Vedha,8.4,85184,8.2,Popular Cast,Main Unit,Pushkar-Gayathri
26,68299232,Biography (Biopic),https://example.com/ms-dhoni-the-untold-story,IND0027,biography (biopic) popular indian audience,hi,M.S. Dhoni: The Untold Story,M.S. Dhoni: The Untold Story is a popular biography (biopic) movie watched by Indian audiences.,77.435,Indian Popular Cinema,India,2016-03-27,133955744,190,Hindi,Released,Top watched Biography (Biopic) title,M.S. Dhoni: The Untold Story,8.2,123197,8.0,Popular Cast,Main Unit,Neeraj Pandey
27,24648269,Biography (Biopic),https://example.com/soorarai-pottru,IND0028,biography (biopic) popular indian audience,ta,Soorarai Pottru,Soorarai Pottru is a popular biography (biopic) movie watched by Indian audiences.,81.472,Indian Popular Cinema,India,2020-04-28,168206713,153,Tamil,Released,Top watched Biography (Biopic) title,Soorarai Pottru,8.8,327283,8.7,Popular Cast,Main Unit,Sudha Kongara
28,68001607,Historical,https://example.com/jodhaa-akbar,IND0029,historical popular indian audience,hi,Jodhaa Akbar,Jodhaa Akbar is a popular historical movie watched by Indian audiences.,69.737,Indian Popular Cinema,India,2008-05-01,241777705,213,Hindi,Released,Top watched Historical title,Jodhaa Akbar,7.5,292145,7.5,Popular Cast,Main Unit,Ashutosh Gowariker
29,5373524,Historical,https://example.com/sardar-udham,IND0030,historical popular indian audience,hi,Sardar Udham,Sardar Udham is a popular historical movie watched by Indian audiences.,65.799,Indian Popular Cinema,India,2021-06-02,21383861,164,Hindi,Released,Top watched Historical title,Sardar Udham,8.6,77998,8.4,Popular Cast,Main Unit,Shoojit Sircar
30,47777750,War,https://example.com/shershaah,IND0031,war popular indian audience,hi,Shershaah,Shershaah is a popular war movie watched by Indian audiences.,88.227,Indian Popular Cinema,India,2021-07-03,261344087,135,Hindi,Released,Top watched War title,Shershaah,8.3,318362,8.3,Popular Cast,Main Unit,Vishnuvardhan
31,22590993,War,https://example.com/border,IND0032,war popular indian audience,hi,Border,Border is a popular war movie watched by Indian audiences.,71.347,Indian Popular Cinema,India,2000-08-04,57859268,176,Hindi,Released,Top watched War title,Border,7.9,61723,7.9,Popular Cast,Main Unit,J. P. Dutta
32,63975924,Musical,https://example.com/rock-on!!,IND0033,musical popular indian audience,hi,Rock On!!,Rock On!! is a popular musical movie watched by Indian audiences.,87.281,Indian Popular Cinema,India,2008-09-05,401834521,145,Hindi,Released,Top watched Musical title,Rock On!!,7.8,49690,7.7,Popular Cast,Main Unit,Abhishek Kapoor
33,20982306,Musical,https://example.com/aashiqui-2,IND0034,musical popular indian audience,hi,Aashiqui 2,Aashiqui 2 is a popular musical movie watched by Indian audiences.,95.191,Indian Popular Cinema,India,2013-10-06,74129398,132,Hindi,Released,Top watched Musical title,Aashiqui 2,7.0,182014,7.0,Popular Cast,Main Unit,Mohit Suri
34,26290940,Sports,https://example.com/dangal,IND0035,sports popular indian audience,hi,Dangal,Dangal is a popular sports movie watched by Indian audiences.,90.303,Indian Popular Cinema,India,2016-11-07,74534270,161,Hindi,Released,Top watched Sports title,Dangal,8.2,210081,8.3,Popular Cast,Main Unit,Nitesh Tiwari
35,10198365,Sports,https://example.com/chak-de!-india,IND0036,sports popular indian audience,hi,Chak De! India,Chak De! India is a popular sports movie watched by Indian audiences.,91.324,Indian Popular Cinema,India,2007-12-08,53462058,153,Hindi,Released,Top watched Sports title,Chak De! India,8.2,276702,8.1,Popular Cast,Main Unit,Shimit Amin
36,5049964,Documentary,https://example.com/the-elephant-whisperers,IND0037,documentary popular indian audience,ta,The Elephant Whisperers,The Elephant Whisperers is a popular documentary movie watched by Indian audiences.,84.276,Indian Popular Cinema,India,2022-01-09,20248304,41,Tamil,Released,Top watched Documentary title,The Elephant Whisperers,8.0,45287,8.0,Popular Cast,Main Unit,Kartiki Gonsalves
37,35315326,Documentary,https://example.com/all-that-breathes,IND0038,documentary popular indian audience,hi,All That Breathes,All That Breathes is a popular documentary movie watched by Indian audiences.,90.358,Indian Popular Cinema,India,2022-02-10,114476886,97,Hindi,Released,Top watched Documentary title,All That Breathes,7.1,377288,7.1,Popular Cast,Main Unit,Shaunak Sen
38,36844560,Western,https://example.com/sholay,IND0039,western popular indian audience,hi,Sholay,Sholay is a popular western movie watched by Indian audiences.,98.676,Indian Popular Cinema,India,2000-03-11,147988562,204,Hindi,Released,Top watched Western title,Sholay,8.2,174220,8.1,Popular Cast,Main Unit,Ramesh Sippy
39,71527788,Western,https://example.com/thar,IND0040,western popular indian audience,hi,Thar,Thar is a popular western movie watched by Indian audiences.,68.351,Indian Popular Cinema,India,2022-04-12,456169832,108,Hindi,Released,Top watched Western title,Thar,6.3,268932,6.1,Popular Cast,Main Unit,Raj Singh Chaudhary
40,12059917,Superhero,https://example.com/krrish,IND0041,superhero popular indian audience,hi,Krrish,Krrish is a popular superhero movie watched by Indian audiences.,82.573,Indian Popular Cinema,India,2006-05-13,56643157,175,Hindi,Released,Top watched Superhero title,Krrish,6.3,397127,6.4,Popular Cast,Main Unit,Rakesh Roshan
41,43140383,Superhero,https://example.com/raone,IND0042,superhero popular indian audience,hi,Ra.One,Ra.One is a popular superhero movie watched by Indian audiences.,71.445,Indian Popular Cinema,India,2011-06-14,249646773,156,Hindi,Released,Top watched Superhero title,Ra.One,5.0,287663,4.7,Popular Cast,Main Unit,Anubhav Sinha
42,47720350,Psychological,https://example.com/game-over,IND0043,psychological popular indian audience,ta,Game Over,Game Over is a popular psychological movie watched by Indian audiences.,87.371,Indian Popular Cinema,India,2019-07-15,351605061,103,Tamil,Released,Top watched Psychological title,Game Over,6.7,198240,6.9,Popular Cast,Main Unit,Ashwin Saravanan
43,60408106,Psychological,https://example.com/kaun?,IND0044,psychological popular indian audience,hi,Kaun?,Kaun? is a popular psychological movie watched by Indian audiences.,86.303,Indian Popular Cinema,India,2000-08-16,145786217,94,Hindi,Released,Top watched Psychological title,Kaun?,7.9,51902,7.8,Popular Cast,Main Unit,Ram Gopal Varma
44,64137445,Noir,https://example.com/johnny-gaddaar,IND0045,noir popular indian audience,hi,Johnny Gaddaar,Johnny Gaddaar is a popular noir movie watched by Indian audiences.,88.992,Indian Popular Cinema,India,2007-09-17,300082858,135,Hindi,Released,Top watched Noir title,Johnny Gaddaar,7.9,22369,7.8,Popular Cast,Main Unit,Sriram Raghavan
45,67200458,Noir,https://example.com/manorama-six-feet-under,IND0046,noir popular indian audience,hi,Manorama Six Feet Under,Manorama Six Feet Under is a popular noir movie watched by Indian audiences.,67.392,Indian Popular Cinema,India,2007-10-18,319157185,137,Hindi,Released,Top watched Noir title,Manorama Six Feet Under,7.8,216158,7.6,Popular Cast,Main Unit,Navdeep Singh
46,7348546,Disaster,https://example.com/2018,IND0047,disaster popular indian audience,ml,2018,2018 is a popular disaster movie watched by Indian audiences.,74.37,Indian Popular Cinema,India,2023-11-19,15272290,150,Malayalam,Released,Top watched Disaster title,2018,8.1,239496,8.3,Popular Cast,Main Unit,Jude Anthany Joseph
47,58302188,Disaster,https://example.com/kedarnath,IND0048,disaster popular indian audience,hi,Kedarnath,Kedarnath is a popular disaster movie watched by Indian audiences.,78.564,Indian Popular Cinema,India,2018-12-20,345465547,120,Hindi,Released,Top watched Disaster title,Kedarnath,6.7,251071,6.6,Popular Cast,Main Unit,Abhishek Kapoor
48,47956154,Survival,https://example.com/trapped,IND0049,survival popular indian audience,hi,Trapped,Trapped is a popular survival movie watched by Indian audiences.,87.247,Indian Popular Cinema,India,2016-01-21,219383698,105,Hindi,Released,Top watched Survival title,Trapped,7.7,343257,7.5,Popular Cast,Main Unit,Vikramaditya Motwane
49,9023950,Survival,https://example.com/mili,IND0050,survival popular indian audience,hi,Mili,Mili is a popular survival movie watched by Indian audiences.,85.556,Indian Popular Cinema,India,2022-02-22,40917579,129,Hindi,Released,Top watched Survival title,Mili,6.6,269889,6.7,Popular Cast,Main Unit,Mathukutty Xavier
